experiment_name,eqsat_time,segments
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,46.423,1
jaxmd_no_segmentation-cpu,0.55402,1
jaxmd_no_segmentation-cpu,0.16344,1
jaxmd_no_segmentation-cpu,1.3083,1
jaxmd_no_segmentation-cpu,0.38982,1
jaxmd_no_segmentation-cpu,0.16041,1
jaxmd_no_segmentation-cpu,0.79909,1
jaxmd_no_segmentation-cpu,45.633,1
jaxmd_tau=5-gpu_2025-03-24_05:49:41,0.76469,10
jaxmd_tau=5-gpu_2025-03-24_05:49:41,0.5645,8
jaxmd_tau=5-gpu_2025-03-24_05:49:41,2.5203,15
jaxmd_tau=5-gpu_2025-03-24_05:49:41,0.7795,10
jaxmd_tau=5-gpu_2025-03-24_05:49:41,0.5589,8
jaxmd_tau=5-gpu_2025-03-24_05:49:41,2.4742,15
jaxmd_tau=5-gpu_2025-03-24_05:49:41,11.723,22
jaxmd_tau=10-gpu_2025-03-24_05:49:41,0.4631,6
jaxmd_tau=10-gpu_2025-03-24_05:49:41,0.40402,5
jaxmd_tau=10-gpu_2025-03-24_05:49:41,1.6447,8
jaxmd_tau=10-gpu_2025-03-24_05:49:41,0.50031,6
jaxmd_tau=10-gpu_2025-03-24_05:49:41,0.43399,5
jaxmd_tau=10-gpu_2025-03-24_05:49:41,1.715,8
jaxmd_tau=10-gpu_2025-03-24_05:49:41,11.667,14
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.30533,3
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.20106,2
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.97273,4
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.28483,3
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.20081,2
jaxmd_tau=25-gpu_2025-03-24_05:49:41,0.92167,4
jaxmd_tau=25-gpu_2025-03-24_05:49:41,16.787,6
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.41778,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.16065,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.85814,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.38602,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.16232,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,0.79829,1
jaxmd_tau=100-gpu_2025-03-24_05:49:41,41.548,2
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.41657,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.15779,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.85437,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.3847,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.15835,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,0.79115,1
jaxmd_tau=500-gpu_2025-03-24_05:49:41,46.53,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.42113,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.1595,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.86135,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.38945,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.16022,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,0.79921,1
jaxmd_tau=1000-gpu_2025-03-24_05:49:41,46.55,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.4184,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.16135,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.86244,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.38746,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.16123,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,0.79924,1
jaxmd_tau=5000-gpu_2025-03-24_05:49:41,46.563,1
jaxmd_no_segmentation-gpu,0.42122,1
jaxmd_no_segmentation-gpu,0.16036,1
jaxmd_no_segmentation-gpu,0.86377,1
jaxmd_no_segmentation-gpu,0.38886,1
jaxmd_no_segmentation-gpu,0.16113,1
jaxmd_no_segmentation-gpu,0.80091,1
jaxmd_no_segmentation-gpu,46.566,1
kan1_tau=5-cpu_2025-03-24_05:49:41,4.8789,10
kan1_tau=10-cpu_2025-03-24_05:49:41,5.2774,7
kan1_tau=25-cpu_2025-03-24_05:49:41,5.4497,6
kan1_tau=100-cpu_2025-03-24_05:49:41,7.0256,2
kan1_tau=500-cpu_2025-03-24_05:49:41,9.3689,1
kan1_tau=1000-cpu_2025-03-24_05:49:41,9.2914,1
kan1_tau=5000-cpu_2025-03-24_05:49:41,8.6013,1
kan1_no_segmentation-cpu,8.7031,1
kan1_tau=5-gpu_2025-03-24_05:49:41,15.096,10
kan1_tau=10-gpu_2025-03-24_05:49:41,15.285,7
kan1_tau=25-gpu_2025-03-24_05:49:41,16.466,6
kan1_tau=100-gpu_2025-03-24_05:49:41,64.066,2
kan1_tau=500-gpu_2025-03-24_05:49:41,305.56,1
kan1_tau=1000-gpu_2025-03-24_05:49:41,305.6,1
kan1_tau=5000-gpu_2025-03-24_05:49:41,305.61,1
kan1_no_segmentation-gpu,305.54,1
kan2_tau=5-cpu_2025-03-24_05:49:41,3.8738,7
kan2_tau=10-cpu_2025-03-24_05:49:41,3.9409,7
kan2_tau=25-cpu_2025-03-24_05:49:41,4.5071,4
kan2_tau=100-cpu_2025-03-24_05:49:41,4.7853,2
kan2_tau=500-cpu_2025-03-24_05:49:41,5.304,1
kan2_tau=1000-cpu_2025-03-24_05:49:41,5.4772,1
kan2_tau=5000-cpu_2025-03-24_05:49:41,5.3643,1
kan2_no_segmentation-cpu,5.368,1
kan2_tau=5-gpu_2025-03-24_05:49:41,14.229,7
kan2_tau=10-gpu_2025-03-24_05:49:41,14.209,7
kan2_tau=25-gpu_2025-03-24_05:49:41,14.452,4
kan2_tau=100-gpu_2025-03-24_05:49:41,152.38,2
kan2_tau=500-gpu_2025-03-24_05:49:41,171.54,1
kan2_tau=1000-gpu_2025-03-24_05:49:41,171.84,1
kan2_tau=5000-gpu_2025-03-24_05:49:41,171.47,1
kan2_no_segmentation-gpu,246.6,1
nasrnn_tau=5-cpu_2025-03-24_05:49:41,0.40511,1
nasrnn_tau=10-cpu_2025-03-24_05:49:41,0.37912,1
nasrnn_tau=25-cpu_2025-03-24_05:49:41,0.37992,1
nasrnn_tau=100-cpu_2025-03-24_05:49:41,0.37885,1
nasrnn_tau=500-cpu_2025-03-24_05:49:41,0.38531,1
nasrnn_tau=1000-cpu_2025-03-24_05:49:41,0.37854,1
nasrnn_tau=5000-cpu_2025-03-24_05:49:41,0.37765,1
nasrnn_no_segmentation-cpu,0.39634,1
nasrnn_tau=5-gpu_2025-03-24_05:49:41,0.26193,1
nasrnn_tau=10-gpu_2025-03-24_05:49:41,0.26168,1
nasrnn_tau=25-gpu_2025-03-24_05:49:41,0.26211,1
nasrnn_tau=100-gpu_2025-03-24_05:49:41,0.26694,1
nasrnn_tau=500-gpu_2025-03-24_05:49:41,0.26769,1
nasrnn_tau=1000-gpu_2025-03-24_05:49:41,0.2665,1
nasrnn_tau=5000-gpu_2025-03-24_05:49:41,0.26369,1
nasrnn_no_segmentation-gpu,0.26717,1
resnet_tau=5-cpu_2025-03-24_05:49:41,21.457,56
resnet_tau=10-cpu_2025-03-24_05:49:41,21.404,54
resnet_tau=25-cpu_2025-03-24_05:49:41,21.319,28
resnet_tau=100-cpu_2025-03-24_05:49:41,17.937,8
resnet_tau=500-cpu_2025-03-24_05:49:41,16.574,2
resnet_tau=1000-cpu_2025-03-24_05:49:41,16.438,1
resnet_tau=5000-cpu_2025-03-24_05:49:41,16.489,1
resnet_no_segmentation-cpu,16.521,1
resnet_tau=5-gpu_2025-03-24_05:49:41,7.0247,56
resnet_tau=10-gpu_2025-03-24_05:49:41,7.0161,54
resnet_tau=25-gpu_2025-03-24_05:49:41,6.917,28
resnet_tau=100-gpu_2025-03-24_05:49:41,3.7119,8
resnet_tau=500-gpu_2025-03-24_05:49:41,2.8725,2
